"OPE ID",School,State,"Zip Code","School Type",Recipients,"num originated","amt originated","num disbursed","amt disbursed"
100200,"ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY                          ",AL,357621357,Public,2542,2553,10391127,2553,5210402
100300,"FAULKNER UNIVERSITY                                                   ",AL,361093398,Private-Nonprofit,1063,1071,3738921,1176,1897213
100400,"UNIVERSITY OF MONTEVALLO                                              ",AL,351156000,Public,1205,1226,5028146,1226,2521160
100500,"ALABAMA STATE UNIVERSITY                                              ",AL,361045714,Public,2598,2649,10523220,2649,5273038
100700,"CENTRAL ALABAMA COMMUNITY COLLEGE                                     ",AL,350100000,Public,442,442,1588315,442,796054
100800,"ATHENS STATE UNIVERSITY                                               ",AL,356111999,Public,1192,1205,5378592,1206,2818296
100900,"AUBURN UNIVERSITY                                                     ",AL,368495113,Public,5191,5191,22282620,5231,11268966
101200,"BIRMINGHAM-SOUTHERN COLLEGE                                           ",AL,352540002,Private-Nonprofit,434,434,1786792,434,898847
101300,"CALHOUN COMMUNITY COLLEGE                                             ",AL,356710000,Public,1912,1912,7092814,1912,3574649
101500,"ENTERPRISE STATE COMMUNITY COLLEGE                                    ",AL,363311300,Public,206,206,727296,214,368890
101600,"UNIVERSITY OF NORTH ALABAMA                                           ",AL,356320001,Public,2476,2476,9988079,2476,5007947
101900,"HUNTINGDON COLLEGE                                                    ",AL,361062148,Private-Nonprofit,617,617,2678339,617,1269535
102000,"JACKSONVILLE STATE UNIVERSITY                                         ",AL,362651602,Public,3035,3040,13062442,3057,6610509
102200,"JEFFERSON STATE COMMUNITY COLLEGE                                     ",AL,352153098,Public,1049,1049,4035518,1049,2019903
102300,"JUDSON COLLEGE                                                        ",AL,367562504,Private-Nonprofit,108,108,447323,113,225206
102400,"UNIVERSITY OF WEST ALABAMA                                            ",AL,354700000,Public,1045,1045,4308186,1045,2161946
102600,"MARION MILITARY INSTITUTE                                             ",AL,367563214,Public,149,149,516909,170,276586
102800,"MILES COLLEGE                                                         ",AL,350642697,Private-Nonprofit,1085,1085,4551668,1085,2271701
102900,"UNIVERSITY OF MOBILE                                                  ",AL,366630220,Private-Nonprofit,729,730,3163971,730,1508434
